Site,Business Date,Time,SOS: Order Created to Served,Qty of Sold Items,Gross Sales,Gross Sales: Walk Up - Tips Test,Gross Sales: Lane 3  - Tips Test,Gross Sales: LANE 2 - Tips Test,Gross Sales: LANE 1 - Tips Test,Gross Sales: Lane 1 - Test,Transaction Count,Guest Count,Guest Avg
"000087 - Big Spring, TX - 1",2026-01-26,10:00AM - 11:00AM,230.5,2,$13.30,$0.00,$0.00,$0.00,$0.00,$0.00,1,1,$13.30
"000087 - Big Spring, TX - 1",2026-01-26,11:00AM - 12:00PM,231.4,49,$285.45,$0.00,$0.00,$0.00,$0.00,$0.00,28,28,$10.19
"000087 - Big Spring, TX - 1",2026-01-26,12:00PM - 01:00PM,262.3,62,$332.50,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$11.08
"000087 - Big Spring, TX - 1",2026-01-26,01:00PM - 02:00PM,308.6,49,$274.25,$0.00,$0.00,$0.00,$0.00,$0.00,22,22,$12.47
"000087 - Big Spring, TX - 1",2026-01-26,02:00PM - 03:00PM,220.6,66,$371.30,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$11.98
"000087 - Big Spring, TX - 1",2026-01-26,03:00PM - 04:00PM,292.2,66,$389.25,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$12.98
"000087 - Big Spring, TX - 1",2026-01-26,04:00PM - 05:00PM,246.3,72,$405.40,$0.00,$0.00,$0.00,$0.00,$0.00,35,35,$11.58
"000087 - Big Spring, TX - 1",2026-01-27,07:00AM - 08:00AM,170.6,1,$6.65,$0.00,$0.00,$0.00,$0.00,$0.00,1,1,$6.65
"000087 - Big Spring, TX - 1",2026-01-27,08:00AM - 09:00AM,188.8,47,$260.85,$0.00,$0.00,$0.00,$0.00,$0.00,29,29,$8.99
"000087 - Big Spring, TX - 1",2026-01-27,09:00AM - 10:00AM,223.6,60,$365.45,$0.00,$0.00,$0.00,$0.00,$0.00,36,36,$10.15
"000087 - Big Spring, TX - 1",2026-01-27,10:00AM - 11:00AM,264.5,79,$450.75,$0.00,$0.00,$0.00,$0.00,$0.00,40,40,$11.27
"000087 - Big Spring, TX - 1",2026-01-27,11:00AM - 12:00PM,260.8,49,$279.35,$0.00,$0.00,$0.00,$0.00,$0.00,28,28,$9.98
"000087 - Big Spring, TX - 1",2026-01-27,12:00PM - 01:00PM,225.5,57,$319.50,$0.00,$0.00,$0.00,$0.00,$0.00,27,27,$11.83
"000087 - Big Spring, TX - 1",2026-01-27,01:00PM - 02:00PM,197.0,54,$317.80,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$10.25
"000087 - Big Spring, TX - 1",2026-01-27,02:00PM - 03:00PM,206.2,46,$277.35,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$9.25
"000087 - Big Spring, TX - 1",2026-01-27,03:00PM - 04:00PM,249.6,57,$330.85,$0.00,$0.00,$0.00,$0.00,$0.00,28,28,$11.82
"000087 - Big Spring, TX - 1",2026-01-27,04:00PM - 05:00PM,285.8,71,$401.75,$0.00,$0.00,$0.00,$0.00,$0.00,36,37,$10.86
"000087 - Big Spring, TX - 1",2026-01-27,05:00PM - 06:00PM,258.1,40,$230.95,$0.00,$0.00,$0.00,$0.00,$0.00,17,18,$12.83
"000087 - Big Spring, TX - 1",2026-01-27,06:00PM - 07:00PM,231.7,31,$169.55,$0.00,$0.00,$0.00,$0.00,$0.00,17,17,$9.97
"000087 - Big Spring, TX - 1",2026-01-27,07:00PM - 08:00PM,268.3,19,$98.85,$0.00,$0.00,$0.00,$0.00,$0.00,7,7,$14.12
"000087 - Big Spring, TX - 1",2026-01-28,05:00AM - 06:00AM,147.8,6,$33.30,$0.00,$0.00,$0.00,$0.00,$0.00,5,5,$6.66
"000087 - Big Spring, TX - 1",2026-01-28,06:00AM - 07:00AM,161.3,33,$187.35,$0.00,$0.00,$0.00,$0.00,$0.00,22,22,$8.52
"000087 - Big Spring, TX - 1",2026-01-28,07:00AM - 08:00AM,140.3,39,$242.15,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$8.07
"000087 - Big Spring, TX - 1",2026-01-28,08:00AM - 09:00AM,182.5,76,$463.10,$0.00,$0.00,$0.00,$0.00,$0.00,45,45,$10.29
"000087 - Big Spring, TX - 1",2026-01-28,09:00AM - 10:00AM,142.3,38,$219.45,$0.00,$0.00,$0.00,$0.00,$0.00,21,21,$10.45
"000087 - Big Spring, TX - 1",2026-01-28,10:00AM - 11:00AM,218.0,61,$366.45,$0.00,$0.00,$0.00,$0.00,$0.00,37,37,$9.90
"000087 - Big Spring, TX - 1",2026-01-28,11:00AM - 12:00PM,206.2,44,$270.00,$0.00,$0.00,$0.00,$0.00,$0.00,29,29,$9.31
"000087 - Big Spring, TX - 1",2026-01-28,12:00PM - 01:00PM,207.3,41,$232.25,$0.00,$0.00,$0.00,$0.00,$0.00,23,23,$10.10
"000087 - Big Spring, TX - 1",2026-01-28,01:00PM - 02:00PM,253.6,46,$264.35,$0.00,$0.00,$0.00,$0.00,$0.00,27,27,$9.79
"000087 - Big Spring, TX - 1",2026-01-28,02:00PM - 03:00PM,338.7,27,$164.30,$0.00,$0.00,$0.00,$0.00,$0.00,14,14,$11.74
"000087 - Big Spring, TX - 1",2026-01-29,05:00AM - 06:00AM,139.8,2,$11.70,$0.00,$0.00,$0.00,$0.00,$0.00,2,2,$5.85
"000087 - Big Spring, TX - 1",2026-01-29,06:00AM - 07:00AM,127.0,26,$169.45,$0.00,$0.00,$0.00,$0.00,$0.00,21,21,$8.07
"000087 - Big Spring, TX - 1",2026-01-29,07:00AM - 08:00AM,179.6,40,$261.65,$0.00,$0.00,$0.00,$0.00,$0.00,29,29,$9.02
"000087 - Big Spring, TX - 1",2026-01-29,08:00AM - 09:00AM,128.1,20,$136.30,$0.00,$0.00,$0.00,$0.00,$0.00,14,14,$9.74
"000087 - Big Spring, TX - 1",2026-01-29,09:00AM - 10:00AM,133.9,20,$122.05,$0.00,$0.00,$0.00,$0.00,$0.00,13,13,$9.39
"000087 - Big Spring, TX - 1",2026-01-29,10:00AM - 11:00AM,109.9,20,$124.30,$0.00,$0.00,$0.00,$0.00,$0.00,14,14,$8.88
"000087 - Big Spring, TX - 1",2026-01-29,11:00AM - 12:00PM,193.3,29,$181.30,$0.00,$0.00,$0.00,$0.00,$0.00,16,16,$11.33
"000087 - Big Spring, TX - 1",2026-01-29,12:00PM - 01:00PM,282.2,30,$184.70,$0.00,$0.00,$0.00,$0.00,$0.00,12,12,$15.39
"000087 - Big Spring, TX - 1",2026-01-29,01:00PM - 02:00PM,156.8,29,$189.70,$0.00,$0.00,$0.00,$0.00,$0.00,19,19,$9.98
"000087 - Big Spring, TX - 1",2026-01-29,02:00PM - 03:00PM,175.4,37,$225.30,$0.00,$0.00,$0.00,$0.00,$0.00,25,25,$9.01
"000087 - Big Spring, TX - 1",2026-02-05,05:00AM - 06:00AM,149.7,13,$84.00,$0.00,$0.00,$0.00,$0.00,$0.00,11,11,$7.64
"000087 - Big Spring, TX - 1",2026-02-05,06:00AM - 07:00AM,206.2,63,$403.75,$0.00,$0.00,$0.00,$0.00,$0.00,46,46,$8.78
"000087 - Big Spring, TX - 1",2026-02-05,07:00AM - 08:00AM,369.0,103,$628.45,$0.00,$0.00,$0.00,$0.00,$0.00,66,66,$9.52
"000087 - Big Spring, TX - 1",2026-02-05,08:00AM - 09:00AM,339.1,80,$475.75,$0.00,$0.00,$0.00,$0.00,$0.00,54,54,$8.81
"000087 - Big Spring, TX - 1",2026-02-05,09:00AM - 10:00AM,249.3,62,$383.45,$0.00,$0.00,$0.00,$0.00,$0.00,42,42,$9.13
"000087 - Big Spring, TX - 1",2026-02-05,10:00AM - 11:00AM,278.1,55,$340.30,$0.00,$0.00,$0.00,$0.00,$0.00,33,33,$10.31
"000087 - Big Spring, TX - 1",2026-02-05,11:00AM - 12:00PM,209.2,53,$303.70,$0.00,$0.00,$0.00,$0.00,$0.00,29,29,$10.47
"000087 - Big Spring, TX - 1",2026-02-05,12:00PM - 01:00PM,328.4,45,$285.20,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$9.20
"000087 - Big Spring, TX - 1",2026-02-05,01:00PM - 02:00PM,236.0,43,$249.75,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$8.06
"000087 - Big Spring, TX - 1",2026-02-05,02:00PM - 03:00PM,247.4,54,$311.75,$0.00,$0.00,$0.00,$0.00,$0.00,34,34,$9.17
"000087 - Big Spring, TX - 1",2026-02-05,03:00PM - 04:00PM,331.5,48,$282.35,$0.00,$0.00,$0.00,$0.00,$0.00,33,33,$8.56
"000087 - Big Spring, TX - 1",2026-02-05,04:00PM - 05:00PM,600.1,70,$408.65,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$13.62
"000087 - Big Spring, TX - 1",2026-02-05,05:00PM - 06:00PM,262.4,67,$395.00,$0.00,$0.00,$0.00,$0.00,$0.00,37,37,$10.68
"000087 - Big Spring, TX - 1",2026-02-05,06:00PM - 07:00PM,292.9,21,$117.20,$0.00,$0.00,$0.00,$0.00,$0.00,10,10,$11.72
"000087 - Big Spring, TX - 1",2026-02-05,07:00PM - 08:00PM,206.1,25,$152.75,$0.00,$0.00,$0.00,$0.00,$0.00,13,13,$11.75
"000087 - Big Spring, TX - 1",2026-02-05,08:00PM - 09:00PM,284.3,31,$176.85,$0.00,$0.00,$0.00,$0.00,$0.00,17,17,$10.40
"000087 - Big Spring, TX - 1",2026-02-05,09:00PM - 10:00PM,342.8,16,$89.25,$0.00,$0.00,$0.00,$0.00,$0.00,7,7,$12.75
"000087 - Big Spring, TX - 1",2026-02-06,05:00AM - 06:00AM,171.0,13,$86.10,$0.00,$0.00,$0.00,$0.00,$0.00,11,11,$7.83
"000087 - Big Spring, TX - 1",2026-02-06,06:00AM - 07:00AM,256.7,58,$345.35,$0.00,$0.00,$0.00,$0.00,$0.00,36,36,$9.59
"000087 - Big Spring, TX - 1",2026-02-06,07:00AM - 08:00AM,236.1,107,$642.05,$0.00,$0.00,$0.00,$0.00,$0.00,67,67,$9.58
"000087 - Big Spring, TX - 1",2026-02-06,08:00AM - 09:00AM,219.8,93,$544.40,$0.00,$0.00,$0.00,$0.00,$0.00,57,57,$9.55
"000087 - Big Spring, TX - 1",2026-02-06,09:00AM - 10:00AM,237.4,87,$498.55,$0.00,$0.00,$0.00,$0.00,$0.00,49,49,$10.17
"000087 - Big Spring, TX - 1",2026-02-06,10:00AM - 11:00AM,374.0,64,$383.65,$0.00,$0.00,$0.00,$0.00,$0.00,38,38,$10.10
"000087 - Big Spring, TX - 1",2026-02-06,11:00AM - 12:00PM,263.8,72,$405.85,$0.00,$0.00,$0.00,$0.00,$0.00,38,38,$10.68
"000087 - Big Spring, TX - 1",2026-02-06,12:00PM - 01:00PM,212.6,44,$259.20,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$8.64
"000087 - Big Spring, TX - 1",2026-02-06,01:00PM - 02:00PM,213.2,64,$406.55,$0.00,$0.00,$0.00,$0.00,$0.00,40,41,$9.92
"000087 - Big Spring, TX - 1",2026-02-06,02:00PM - 03:00PM,176.0,58,$345.60,$0.00,$0.00,$0.00,$0.00,$0.00,34,34,$10.16
"000087 - Big Spring, TX - 1",2026-02-06,03:00PM - 04:00PM,196.3,76,$451.70,$0.00,$0.00,$0.00,$0.00,$0.00,41,41,$11.02
"000087 - Big Spring, TX - 1",2026-02-06,04:00PM - 05:00PM,173.2,66,$385.45,$0.00,$0.00,$0.00,$0.00,$0.00,38,38,$10.14
"000087 - Big Spring, TX - 1",2026-02-06,05:00PM - 06:00PM,293.5,54,$308.20,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$9.94
"000087 - Big Spring, TX - 1",2026-02-06,06:00PM - 07:00PM,298.1,51,$311.05,$0.00,$0.00,$0.00,$0.00,$0.00,28,28,$11.11
"000087 - Big Spring, TX - 1",2026-02-06,07:00PM - 08:00PM,264.1,30,$175.15,$0.00,$0.00,$0.00,$0.00,$0.00,12,12,$14.60
"000087 - Big Spring, TX - 1",2026-02-06,08:00PM - 09:00PM,187.9,22,$121.50,$0.00,$0.00,$0.00,$0.00,$0.00,12,12,$10.13
"000087 - Big Spring, TX - 1",2026-02-06,09:00PM - 10:00PM,189.0,26,$143.25,$0.00,$0.00,$0.00,$0.00,$0.00,13,13,$11.02
"000087 - Big Spring, TX - 1",2026-02-06,10:00PM - 11:00PM,162.9,6,$38.70,$0.00,$0.00,$0.00,$0.00,$0.00,4,4,$9.68
"000087 - Big Spring, TX - 1",2026-02-07,05:00AM - 06:00AM,193.9,21,$111.95,$0.00,$0.00,$0.00,$0.00,$0.00,11,11,$10.18
"000087 - Big Spring, TX - 1",2026-02-07,06:00AM - 07:00AM,216.3,37,$215.30,$0.00,$0.00,$0.00,$0.00,$0.00,23,23,$9.36
"000087 - Big Spring, TX - 1",2026-02-07,07:00AM - 08:00AM,203.5,86,$497.85,$0.00,$0.00,$0.00,$0.00,$0.00,42,42,$11.85
"000087 - Big Spring, TX - 1",2026-02-07,08:00AM - 09:00AM,257.3,124,$744.05,$0.00,$0.00,$0.00,$0.00,$0.00,64,64,$11.63
"000087 - Big Spring, TX - 1",2026-02-07,09:00AM - 10:00AM,221.9,139,$811.50,$0.00,$0.00,$0.00,$0.00,$0.00,69,69,$11.76
"000087 - Big Spring, TX - 1",2026-02-07,10:00AM - 11:00AM,279.9,135,$796.25,$0.00,$0.00,$0.00,$0.00,$0.00,62,62,$12.84
"000087 - Big Spring, TX - 1",2026-02-07,11:00AM - 12:00PM,302.3,110,$639.45,$0.00,$0.00,$0.00,$0.00,$0.00,53,53,$12.07
"000087 - Big Spring, TX - 1",2026-02-07,12:00PM - 01:00PM,181.9,88,$516.05,$0.00,$0.00,$0.00,$0.00,$0.00,41,41,$12.59
"000087 - Big Spring, TX - 1",2026-02-07,01:00PM - 02:00PM,178.5,89,$539.35,$0.00,$0.00,$0.00,$0.00,$0.00,44,44,$12.26
"000087 - Big Spring, TX - 1",2026-02-07,02:00PM - 03:00PM,205.9,108,$622.45,$0.00,$0.00,$0.00,$0.00,$0.00,48,48,$12.97
"000087 - Big Spring, TX - 1",2026-02-07,03:00PM - 04:00PM,217.9,88,$540.20,$0.00,$0.00,$0.00,$0.00,$0.00,50,50,$10.80
"000087 - Big Spring, TX - 1",2026-02-07,04:00PM - 05:00PM,229.5,86,$510.10,$0.00,$0.00,$0.00,$0.00,$0.00,50,50,$10.20
"000087 - Big Spring, TX - 1",2026-02-07,05:00PM - 06:00PM,276.5,64,$396.65,$0.00,$0.00,$0.00,$0.00,$0.00,32,32,$12.40
"000087 - Big Spring, TX - 1",2026-02-07,06:00PM - 07:00PM,238.2,42,$253.30,$0.00,$0.00,$0.00,$0.00,$0.00,20,20,$12.67
